Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y
d05_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,4453,1696,885,64,1562.984375,318.609375,4036,1638,484,3766,1708,936,4356,1700.748852,892.6166208,2045,1671.065037,772.7070905,372255,1454.768651,805.2827685,1955,1609.920205,390.7258312,4354,1700.774231,892.7675701
d05_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,2104,1363,448,59,1659.983051,349.5423729,2905,1429,339,3565,1410,373,2104,1363.40827,447.5327947,1461,1654.886379,380.4161533,287688,1451.907779,269.9476516,1995,1375.193985,425.5874687,3039,1404.476802,383.2681803
d05_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,2557,1549,917,76,1655.434211,367.9342105,4792,1456,908,6992,1581,796,2557,1550.040673,916.8885413,2256,1531.962766,783.7220745,374271,1870.725151,877.0123574,4826,1643.250104,352.8760879,2711,1665.372556,433.7303578
d05_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,5394,1624,772,84,1616.47619,319.4047619,6767,1627,518,5923,1630,490,5394,1612.143122,771.73934,3138,1669.897068,449.6982154,386478,1816.491187,277.3161784,3158,1610.127929,200.0547815,6519,1611.936493,679.2155239
d05_05_G01_1_1_T,glasshouse_b1,Gladius,T1,R1,T,3357,1588,876,78,1691.371795,242.2948718,4327,1584,831,5187,1594,754,3357,1593.241287,875.5677688,2422,1547.030553,723.3406276,377802,1876.404151,876.3712738,2446,2014.508177,607.6439084,3357,1593.241287,875.5677688
d05_06_G01_1_2_T,glasshouse_b1,Gladius,T1,R2,T,3474,1647,839,65,1754.569231,257.2769231,4769,1682,595,4672,1670,623,3474,1644.058434,839.4689119,2327,1724.693167,775.6549205,328725,1922.045062,882.0561077,2314,1835.647796,673.9611063,3474,1644.058434,839.4689119
d05_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,2783,1609,912,61,1594.508197,245.7704918,4057,1654,515,3603,1654,500,2783,1611.751707,911.7678764,1577,1875.195308,539.4679772,357372,1450.116727,816.6855601,1642,1646.80268,742.4725944,2902,1644.743625,420.6740179
d05_08_G01_1_4_T,glasshouse_b1,Gladius,T1,R4,T,3386,1666,683,69,1502.405797,364.9565217,3953,1711,829,4110,1709,823,3015,1651.624876,648.6480929,2436,1662.542693,506.3965517,384792,1456.352533,756.4499314,2755,1651.224319,425.5092559,3852,1760.981828,569.4192627
d05_09_G02_0_1_T,glasshouse_b1,5489,T0,R1,T,4279,1627,983,73,1652.876712,294.3424658,4319,1643,1014,5265,1617,949,4279,1634.462024,979.8499649,2260,1587.442478,825.0106195,368798,1459.118631,824.2868806,2937,1644.83078,300.9230507,4279,1634.462024,979.8499649
d05_10_G02_0_1_T,glasshouse_b1,5489,T0,R2,T,2402,1781,451,59,1850.694915,328.2881356,5654,1774,382,6361,1778,444,2402,1781.380516,451.407577,3515,1829.221906,439.7357041,391994,1632.678345,268.8288545,4819,1799.043162,271.5932766,3225,1777.063876,388.2905426
d05_11_G02_0_3_T,glasshouse_b1,5489,T0,R3,T,2353,1517,1156,74,1435.945946,436.6891892,2917,1445,527,3302,1446,561,2353,1517.050999,1155.832979,2265,1516.715232,1163.133775,351810,1455.61998,847.0577499,2348,1517.038756,1156.255111,2353,1517.050999,1155.832979
d05_12_G02_0_4_T,glasshouse_b1,5489,T0,R4,T,2224,1835,531,66,1447.545455,301.7121212,4958,1504,823,7294,1509,718,2224,1831.534622,532.381295,2224,1831.534622,532.381295,351924,1458.101397,767.0299639,3201,1444.729147,335.4823493,3405,1774.88047,445.0992658
d05_13_G02_1_1_T,glasshouse_b1,5489,T1,R1,T,2332,1662,692,74,1616.094595,233.7297297,2912,1637,348,2849,1663,641,2332,1657.859348,689.5977702,1283,1646.123149,363.7989088,288062,1463.695885,272.3344905,1270,1646.202362,364.7622047,2332,1657.859348,689.5977702
d05_14_G02_1_2_T,glasshouse_b1,5489,T1,R2,T,1058,1808,806,82,1486.04878,305.0121951,2006,1577,333,2006,1577,333,1058,1808.414934,806.452741,778,1606.250643,366.718509,322306,1459.115077,286.4707607,1168,1467.536815,289.3159247,1518,1572.483531,319.4756258
d05_15_G02_1_3_T,glasshouse_b1,5489,T1,R3,T,938,1574,309,53,1574.018868,313.7169811,1141,1570,297,1141,1570,297,728,1574.092033,329.6428571,367,1574.643052,358.2479564,336449,1455.951981,292.5796272,446,1574.786996,351.9910314,728,1574.092033,329.6428571
d05_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,1575,1577,613,55,1569.818182,522.0181818,2670,1574,523,2823,1559,739,1575,1571.685714,613.1073016,1248,1550.619391,904.2604167,309107,1462.792331,283.1396021,1396,1546.25,370.7256447,1781,1549.674902,343.3694554
d05_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,4104,1354,676,58,1721.827586,444.1896552,6531,1344,754,8906,1361,674,4104,1347.332359,675.7599903,2718,1631.969463,913.7170714,398185,1073.051391,270.1403117,2957,1563.436253,233.6496449,5378,1375.779286,578.1230941
d05_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,3163,1310,828,71,1496.71831,266.4507042,4372,1433,397,3976,1434,378,3163,1311.548214,827.7594056,2354,1376.849618,374.1418862,528216,1090.365593,268.2523002,2078,1494.445621,272.172281,3163,1311.548214,827.7594056
