Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d05_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,4453,1696,885,64,1562.984375,318.609375,4036,1638,484,3766,1708,936,4356,1700.748852,892.6166208,2045,1671.065037,772.7070905,372255,1454.768651,805.2827685,1955,1609.920205,390.7258312,4354,1700.774231,892.7675701,53,39,132.607467,0.294101,51.691799,0.427497,0.435429,0.725714,252.416943,20.657647,180.088147,17.817872,112.742123,2.047472,4.025703,51.91354,1.384595,12.647118,163.091196,4.349833,0.763663,19.154959,0.739025
d05_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,2104,1363,448,59,1659.983051,349.5423729,2905,1429,339,3565,1410,373,2104,1363.40827,447.5327947,1461,1654.886379,380.4161533,287688,1451.907779,269.9476516,1995,1375.193985,425.5874687,3039,1404.476802,383.2681803,22,12,88.395843,0.135753,35.096704,0.427057,0.435429,0.649099,174.26841,13.305382,119.582837,7.330599,80.992673,0.072571,1.914748,36.102545,0.047106,6.015358,113.419492,0.147988,0.40656,12.874807,0.024015
d05_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,2557,1549,917,76,1655.434211,367.9342105,4792,1456,908,6992,1581,796,2557,1550.040673,916.8885413,2256,1531.962766,783.7220745,374271,1870.725151,877.0123574,4826,1643.250104,352.8760879,2711,1665.372556,433.7303578,41,23,173.75385,0.132371,64.774064,0.407013,0.435429,0.725714,342.361537,24.148616,223.216338,28.110197,144.942841,0.700812,6.602985,63.980939,0.468043,20.743889,201.002047,1.470402,1.284473,22.617537,0.246606
d05_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,5394,1624,772,84,1616.47619,319.4047619,6767,1627,518,5923,1630,490,5394,1612.143122,771.73934,3138,1669.897068,449.6982154,386478,1816.491187,277.3161784,3158,1610.127929,200.0547815,6519,1611.936493,679.2155239,41,27,216.15833,0.124908,79.467912,0.406487,0.435429,0.725714,424.748602,29.230413,275.351837,27.146139,188.34144,0.670752,6.500027,80.698654,0.448531,20.420437,253.522297,1.409103,1.297495,27.696258,0.236659
d05_05_G01_1_1_T,glasshouse_b1,Gladius,T1,R1,T,3357,1588,876,78,1691.371795,242.2948718,4327,1584,831,5187,1594,754,3357,1593.241287,875.5677688,2422,1547.030553,723.3406276,377802,1876.404151,876.3712738,2446,2014.508177,607.6439084,3357,1593.241287,875.5677688,29,19,155.669343,0.122054,58.791192,0.408824,0.435429,0.725714,305.38908,21.186727,199.817439,14.954505,139.300763,1.414075,3.729275,58.936144,0.938447,11.715864,185.153357,2.948219,0.763201,19.932076,0.49145
d05_06_G01_1_2_T,glasshouse_b1,Gladius,T1,R2,T,3474,1647,839,65,1754.569231,257.2769231,4769,1682,595,4672,1670,623,3474,1644.058434,839.4689119,2327,1724.693167,775.6549205,328725,1922.045062,882.0561077,2314,1835.647796,673.9611063,3474,1644.058434,839.4689119,25,13,154.126697,0.084346,58.248731,0.409491,0.435429,0.580571,305.517562,21.179393,199.682099,14.771124,139.355574,0,3.83342,59.727366,0,12.043045,187.639054,0,0.814512,20.364881,0
d05_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,2783,1609,912,61,1594.508197,245.7704918,4057,1654,515,3603,1654,500,2783,1611.751707,911.7678764,1577,1875.195308,539.4679772,357372,1450.116727,816.6855601,1642,1646.80268,742.4725944,2902,1644.743625,420.6740179,25,15,124.541939,0.120441,46.641118,0.404401,0.435429,0.580571,245.597428,16.642708,158.55874,13.29995,111.241989,0,3.21196,47.258854,0,10.09067,148.46807,0,0.644967,15.99774,0
d05_08_G01_1_4_T,glasshouse_b1,Gladius,T1,R4,T,3386,1666,683,69,1502.405797,364.9565217,3953,1711,829,4110,1709,823,3015,1651.624876,648.6480929,2436,1662.542693,506.3965517,384792,1456.352533,756.4499314,2755,1651.224319,425.5092559,3852,1760.981828,569.4192627,22,8,152.206544,0.05256,54.683235,0.387727,0.410526,0.52332,304.583134,18.714237,184.55321,29.29197,122.914574,0,7.062651,51.682461,0,22.187972,162.365238,0,1.414764,17.299473,0
d05_09_G02_0_1_T,glasshouse_b1,5489,T0,R1,T,4279,1627,983,73,1652.876712,294.3424658,4319,1643,1014,5265,1617,949,4279,1634.462024,979.8499649,2260,1587.442478,825.0106195,368798,1459.118631,824.2868806,2937,1644.83078,300.9230507,4279,1634.462024,979.8499649,35,25,138.534307,0.180461,51.107205,0.401946,0.410526,0.580571,268.846528,18.285146,174.537539,14.552158,123.982149,0,3.527027,52.029998,0,11.080481,163.457058,0,0.702767,17.582379,0
d05_10_G02_0_1_T,glasshouse_b1,5489,T0,R2,T,2402,1781,451,59,1850.694915,328.2881356,5654,1774,382,6361,1778,444,2402,1781.380516,451.407577,3515,1829.221906,439.7357041,391994,1632.678345,268.8288545,4819,1799.043162,271.5932766,3225,1777.063876,388.2905426,59,37,182.708577,0.202508,64.089404,0.388124,0.410526,0.615789,355.989644,23.108681,222.51117,38.983094,143.652912,0.072571,9.150293,61.632523,0.044689,28.746494,193.624281,0.140394,1.787377,21.299691,0.021613
d05_11_G02_0_3_T,glasshouse_b1,5489,T0,R3,T,2353,1517,1156,74,1435.945946,436.6891892,2917,1445,527,3302,1446,561,2353,1517.050999,1155.832979,2265,1516.715232,1163.133775,351810,1455.61998,847.0577499,2348,1517.038756,1156.255111,2353,1517.050999,1155.832979,39,29,107.890885,0.26879,40.405449,0.407868,0.435429,0.580571,208.497955,15.057347,139.148902,15.815932,92.074953,0,3.648314,40.644157,0,11.461516,127.687386,0,0.703129,14.354218,0
d05_12_G02_0_4_T,glasshouse_b1,5489,T0,R4,T,2224,1835,531,66,1447.545455,301.7121212,4958,1504,823,7294,1509,718,2224,1831.534622,532.381295,2224,1831.534622,532.381295,351924,1458.101397,767.0299639,3201,1444.729147,335.4823493,3405,1774.88047,445.0992658,41,25,175.681448,0.142303,66.875442,0.412414,0.435429,0.580571,344.617141,24.508485,228.255047,20.57345,155.107998,0,5.233099,67.422739,0,16.440265,211.814782,0,1.08765,23.420835,0
d05_13_G02_1_1_T,glasshouse_b1,5489,T1,R1,T,2332,1662,692,74,1616.094595,233.7297297,2912,1637,348,2849,1663,641,2332,1657.859348,689.5977702,1283,1646.123149,363.7989088,288062,1463.695885,272.3344905,1270,1646.202362,364.7622047,2332,1657.859348,689.5977702,38,28,98.66702,0.283783,35.839296,0.401702,0.435429,0.598439,189.10466,13.383241,124.989949,16.391346,82.275674,0,3.905474,35.880062,0,12.269409,112.72054,0,0.76934,12.613901,0
d05_14_G02_1_2_T,glasshouse_b1,5489,T1,R2,T,1058,1808,806,82,1486.04878,305.0121951,2006,1577,333,2006,1577,333,1058,1808.414934,806.452741,778,1606.250643,366.718509,322306,1459.115077,286.4707607,1168,1467.536815,289.3159247,1518,1572.483531,319.4756258,16,12,60.070586,0.199765,21.514111,0.384244,0.410526,0.598439,117.720528,7.416164,72.80768,10.412565,49.658021,0,2.511346,20.664059,0,7.889625,64.918055,0,0.501768,6.914395,0
d05_15_G02_1_3_T,glasshouse_b1,5489,T1,R3,T,938,1574,309,53,1574.018868,313.7169811,1141,1570,297,1141,1570,297,728,1574.092033,329.6428571,367,1574.643052,358.2479564,336449,1455.951981,292.5796272,446,1574.786996,351.9910314,728,1574.092033,329.6428571,16,12,32.042757,0.3745,10.001297,0.348791,0.410526,0.580571,61.48753,3.444567,35.301389,10.25195,21.790807,0,2.079355,9.157426,0,6.532486,28.768902,0,0.360123,3.084444,0
d05_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,1575,1577,613,55,1569.818182,522.0181818,2670,1574,523,2823,1559,739,1575,1571.685714,613.1073016,1248,1550.619391,904.2604167,309107,1462.792331,283.1396021,1396,1546.25,370.7256447,1781,1549.674902,343.3694554,46,32,82.267495,0.388975,30.188221,0.405577,0.435429,0.725714,155.92728,11.757707,106.314805,16.033647,65.387894,0.845955,3.572025,29.723891,0.545138,11.221849,93.380356,1.7126,0.665153,10.815603,0.276952
d05_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,4104,1354,676,58,1721.827586,444.1896552,6531,1344,754,8906,1361,674,4104,1347.332359,675.7599903,2718,1631.969463,913.7170714,398185,1073.051391,270.1403117,2957,1563.436253,233.6496449,5378,1375.779286,578.1230941,45,27,203.594561,0.132617,77.69833,0.416114,0.435429,0.725714,399.494781,29.043431,266.187759,20.451074,182.793082,0.350406,4.618557,79.882048,0.229589,14.509626,250.956856,0.721277,0.875276,28.049594,0.118561
d05_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,3163,1310,828,71,1496.71831,266.4507042,4372,1433,397,3976,1434,378,3163,1311.548214,827.7594056,2354,1376.849618,374.1418862,528216,1090.365593,268.2523002,2078,1494.445621,272.172281,3163,1311.548214,827.7594056,43,31,136.453753,0.227183,50.575277,0.411683,0.435429,0.917964,262.023044,20.019059,178.216862,21.564548,107.95366,6.935546,5.011591,46.687927,5.028671,15.744378,146.674449,15.798035,0.971796,16.157386,2.889876
d05_19_G03_0_3_T,glasshouse_b1,CALINGIRI,T0,R3,T,3850,1539,804,63,1597.52381,305,4740,1554,576,4874,1554,576,3850,1536.337403,804.4724675,2503,1628.245306,566.117459,393955,1455.057385,357.593748,2902,1586.399035,318.5413508,3850,1536.337403,804.4724675,45,29,155.476379,0.186524,58.67006,0.414259,0.435429,0.725714,303.169122,22.241282,204.851558,17.155666,137.795105,0.525609,4.321873,60.542367,0.342036,13.577565,190.199454,1.074539,0.898499,21.167035,0.175748
d05_20_G03_0_4_T,glasshouse_b1,CALINGIRI,T0,R4,T,2544,1799,826,81,1571.259259,402.382716,4934,1818,949,5146,1813,930,2544,1794.032233,826.9508648,2520,1545.74881,426.1349206,357156,2039.222225,874.4522366,4017,1298.506348,365.21882,2513,1794.466375,828.4878631,30,14,178.940539,0.078238,66.917575,0.404476,0.410526,0.649099,352.479847,23.970569,226.61267,20.231223,158.32885,0.380466,4.591011,67.30192,0.240123,14.423086,211.435217,0.754368,0.872356,22.979105,0.119108
