Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Custom_points,Custom_center_x,Custom_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d29_42_G06_0_2_S,glasshouse_b1,3811,T0,R2,S,13461,876,3107,69,784.9565217,2916.362319,29171,1003,2626,30056,1003,2626,13461,826.2036996,3087.542827,13700,517.5818248,3580.897737,358139,1944.980896,2085.742086,15446,1877.040787,2449.033148,13461,826.2036996,3087.542827,267,165,1055.409652,0.156337,388.423186,0.402704,0.435429,0.821052,2063.002607,145.482159,1347.746879,158.591945,884.861396,11.95631,35.372999,385.510301,8.117856,111.127553,1211.11633,25.502996,6.676961,134.455165,4.350033
d13_30_G04_1_2_S,glasshouse_b1,Forrest,T1,R2,S,3167,1065,1630,57,1030.912281,1713.210526,3574,1050,1670,3574,1050,1670,3167,1063.634039,1630.045785,1386,1040.854257,1693.007937,305050,882.4878249,1467.051346,1755,1389.646154,344.2062678,3167,1063.634039,1630.045785,34,18,110.713144,0.162582,39.99992,0.390981,0.410526,0.580571,217.296125,14.32167,138.060808,16.190356,94.522788,0,4.069643,39.876477,0,12.78516,125.275648,0,0.843963,13.477707,0
d09_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,8513,1181,1210,67,1399.373134,271.641791,14271,1444,784,14536,1444,784,8513,1224.028545,1206.17021,4700,1267.267234,564.2210638,383817,879.1486359,886.845567,8233,1420.088425,315.8639621,11124,1515.461704,508.8945523,88,70,361.95155,0.193396,139.854888,0.428228,0.435429,1.026315,695.056873,56.161218,490.373897,34.192861,313.88244,13.876249,8.234705,137.091126,10.765029,25.870088,430.684474,33.819335,1.652039,47.810801,6.698378
d37_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,13052,1738,3880,57,1509.982456,2247.052632,30391,1544,4071,29957,1646,4059,13052,1750.145878,3887.03578,15162,1733.385635,2115.498549,427782,1652.022453,3267.816414,21733,1841.64432,4012.263976,9039,1811.3975,3606.990818,346,236,1118.485182,0.211,411.027486,0.409912,0.435429,0.973648,2154.894645,159.110247,1448.256713,167.214761,932.689481,18.58094,37.818589,409.111218,13.974451,118.810602,1285.544077,43.902034,7.177181,143.581171,8.351895
d5_T004_21.10.23,field,3811,na,R1,S,52840,1645,5166,60,1872.05,4854,208096,1187,5162,241017,1039,4857,44932,1607.964124,5124.449101,89024,1274.377909,3139.142299,480351,1487.135243,4915.191435,166567,1334.617001,5304.187486,22211,1515.236504,5397.334294,1028,452,3643.548318,0.124055,647.213759,0.197188,0.18932,0.567961,7208.826417,120.880175,2256.923024,3450.676854,192.871464,0,651.61115,66.77184,0,2047.096801,209.826224,0,102.360793,18.519382,0
d37_23_G03_1_3_T,glasshouse_b1,CALINGIRI,T1,R3,T,8297,769,4318,57,1412.596491,3384.315789,23756,1577,4204,24389,1575,4197,8297,754.026154,4318.281789,11120,1816.459892,3614.153327,462602,1985.807965,3390.229897,20542,1785.026774,4005.601548,8216,2042.729674,3867.005599,221,155,900.401516,0.172145,325.244906,0.399303,0.435429,0.725714,1755.731231,119.526268,1135.653031,159.711676,740.339434,0.350406,40.979647,320.271601,0.23834,128.741357,1006.162908,0.748766,8.633996,110.764141,0.128131
d17_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,18948,1989,2649,54,1517.592593,960.6111111,17551,2054,2823,20444,1665,2011,18948,2007.423686,2641.554043,8328,1940.811479,3164.254203,558120,1668.372475,2300.113549,10877,1568.791027,852.3628758,17144,2002.641799,2724.196979,92,62,621.701291,0.099726,236.049561,0.411805,0.435429,0.649099,1224.166728,86.005537,805.630781,61.594953,559.931135,0.175203,15.147463,241.135626,0.113724,47.587159,757.686349,0.357274,3.091414,82.856146,0.057977
d43_13_G02_1_1_T,glasshouse_b2,5489,T1,R1,T,8217,1732,1712,47,2280.319149,1382.893617,51861,1882,1302,51791,1882,1302,8217,1734.434709,1711.90118,22663,1564.748709,1878.715836,377383,2012.86576,907.7847942,36781,2055.822653,1149.430412,5485,1923.102826,1497.071103,480,318,1423.169874,0.223445,477.4026,0.372503,0.410526,1.04664,2748.585578,174.64286,1675.853101,479.937827,915.783171,27.448876,116.52623,397.163943,19.750437,366.077947,1247.727325,62.047829,23.481587,139.690927,11.470346
d4_T009_14.10.23,field,3811,na,R5,S,75792,1237,6158,66,1609.318182,4423.954545,287066,1068,5201,305702,1103,5122,49915,194.0118401,866.7501753,135641,1184.597843,6193.115437,911508,387.9632466,557.970935,135336,1197.364537,6192.770948,49121,194.1993852,877.2341361,1231,751,4564.728276,0.164522,869.170305,0.213357,0.18932,0.900019,8949.606095,183.451347,3057.965052,4074.440051,485.470218,4.818007,792.288091,177.700372,3.376838,2489.046446,558.309956,10.60865,128.682463,52.891364,1.87752
d07_40_G05_1_4_S,glasshouse_b2,Hartog,T1,R4,S,2303,1364,411,63,1359.714286,412.2222222,3848,1558,340,3836,1558,340,2303,1367.212332,413.7585758,1483,1546.45381,406.2643291,298246,1456.417649,272.4168136,1657,1546.646349,397.9149065,2014,1547.714995,377.6032771,55,39,91.643582,0.425562,30.714883,0.379389,0.410526,0.649099,171.752946,11.827637,111.462876,23.411915,67.518405,0.713263,5.295678,29.732751,0.451306,16.636864,93.408192,1.41782,1.00816,10.595046,0.224431
