Image_name,data_type,Genotype,Treatment,Replication,Group,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d05_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,53,39,132.607467,0.294101,51.691799,0.427497,0.435429,0.725714,252.416943,20.657647,180.088147,17.817872,112.742123,2.047472,4.025703,51.91354,1.384595,12.647118,163.091196,4.349833,0.763663,19.154959,0.739025
d05_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,22,12,88.395843,0.135753,35.096704,0.427057,0.435429,0.649099,174.26841,13.305382,119.582837,7.330599,80.992673,0.072571,1.914748,36.102545,0.047106,6.015358,113.419492,0.147988,0.40656,12.874807,0.024015
d05_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,41,23,173.75385,0.132371,64.774064,0.407013,0.435429,0.725714,342.361537,24.148616,223.216338,28.110197,144.942841,0.700812,6.602985,63.980939,0.468043,20.743889,201.002047,1.470402,1.284473,22.617537,0.246606
d05_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,41,27,216.15833,0.124908,79.467912,0.406487,0.435429,0.725714,424.748602,29.230413,275.351837,27.146139,188.34144,0.670752,6.500027,80.698654,0.448531,20.420437,253.522297,1.409103,1.297495,27.696258,0.236659
d05_05_G01_1_1_T,glasshouse_b1,Gladius,T1,R1,T,29,19,155.669343,0.122054,58.791192,0.408824,0.435429,0.725714,305.38908,21.186727,199.817439,14.954505,139.300763,1.414075,3.729275,58.936144,0.938447,11.715864,185.153357,2.948219,0.763201,19.932076,0.49145
d05_06_G01_1_2_T,glasshouse_b1,Gladius,T1,R2,T,25,13,154.126697,0.084346,58.248731,0.409491,0.435429,0.580571,305.517562,21.179393,199.682099,14.771124,139.355574,0,3.83342,59.727366,0,12.043045,187.639054,0,0.814512,20.364881,0
d05_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,25,15,124.541939,0.120441,46.641118,0.404401,0.435429,0.580571,245.597428,16.642708,158.55874,13.29995,111.241989,0,3.21196,47.258854,0,10.09067,148.46807,0,0.644967,15.99774,0
d05_08_G01_1_4_T,glasshouse_b1,Gladius,T1,R4,T,22,8,152.206544,0.05256,54.683235,0.387727,0.410526,0.52332,304.583134,18.714237,184.55321,29.29197,122.914574,0,7.062651,51.682461,0,22.187972,162.365238,0,1.414764,17.299473,0
d05_09_G02_0_1_T,glasshouse_b1,5489,T0,R1,T,35,25,138.534307,0.180461,51.107205,0.401946,0.410526,0.580571,268.846528,18.285146,174.537539,14.552158,123.982149,0,3.527027,52.029998,0,11.080481,163.457058,0,0.702767,17.582379,0
d05_10_G02_0_1_T,glasshouse_b1,5489,T0,R2,T,59,37,182.708577,0.202508,64.089404,0.388124,0.410526,0.615789,355.989644,23.108681,222.51117,38.983094,143.652912,0.072571,9.150293,61.632523,0.044689,28.746494,193.624281,0.140394,1.787377,21.299691,0.021613
d05_11_G02_0_3_T,glasshouse_b1,5489,T0,R3,T,39,29,107.890885,0.26879,40.405449,0.407868,0.435429,0.580571,208.497955,15.057347,139.148902,15.815932,92.074953,0,3.648314,40.644157,0,11.461516,127.687386,0,0.703129,14.354218,0
d05_12_G02_0_4_T,glasshouse_b1,5489,T0,R4,T,41,25,175.681448,0.142303,66.875442,0.412414,0.435429,0.580571,344.617141,24.508485,228.255047,20.57345,155.107998,0,5.233099,67.422739,0,16.440265,211.814782,0,1.08765,23.420835,0
d05_13_G02_1_1_T,glasshouse_b1,5489,T1,R1,T,38,28,98.66702,0.283783,35.839296,0.401702,0.435429,0.598439,189.10466,13.383241,124.989949,16.391346,82.275674,0,3.905474,35.880062,0,12.269409,112.72054,0,0.76934,12.613901,0
d05_14_G02_1_2_T,glasshouse_b1,5489,T1,R2,T,16,12,60.070586,0.199765,21.514111,0.384244,0.410526,0.598439,117.720528,7.416164,72.80768,10.412565,49.658021,0,2.511346,20.664059,0,7.889625,64.918055,0,0.501768,6.914395,0
d05_15_G02_1_3_T,glasshouse_b1,5489,T1,R3,T,16,12,32.042757,0.3745,10.001297,0.348791,0.410526,0.580571,61.48753,3.444567,35.301389,10.25195,21.790807,0,2.079355,9.157426,0,6.532486,28.768902,0,0.360123,3.084444,0
d05_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,46,32,82.267495,0.388975,30.188221,0.405577,0.435429,0.725714,155.92728,11.757707,106.314805,16.033647,65.387894,0.845955,3.572025,29.723891,0.545138,11.221849,93.380356,1.7126,0.665153,10.815603,0.276952
d05_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,45,27,203.594561,0.132617,77.69833,0.416114,0.435429,0.725714,399.494781,29.043431,266.187759,20.451074,182.793082,0.350406,4.618557,79.882048,0.229589,14.509626,250.956856,0.721277,0.875276,28.049594,0.118561
d05_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,43,31,136.453753,0.227183,50.575277,0.411683,0.435429,0.917964,262.023044,20.019059,178.216862,21.564548,107.95366,6.935546,5.011591,46.687927,5.028671,15.744378,146.674449,15.798035,0.971796,16.157386,2.889876
d05_19_G03_0_3_T,glasshouse_b1,CALINGIRI,T0,R3,T,45,29,155.476379,0.186524,58.67006,0.414259,0.435429,0.725714,303.169122,22.241282,204.851558,17.155666,137.795105,0.525609,4.321873,60.542367,0.342036,13.577565,190.199454,1.074539,0.898499,21.167035,0.175748
d05_20_G03_0_4_T,glasshouse_b1,CALINGIRI,T0,R4,T,30,14,178.940539,0.078238,66.917575,0.404476,0.410526,0.649099,352.479847,23.970569,226.61267,20.231223,158.32885,0.380466,4.591011,67.30192,0.240123,14.423086,211.435217,0.754368,0.872356,22.979105,0.119108
d05_21_G03_1_1_T,glasshouse_b1,CALINGIRI,T1,R1,T,37,19,98.700468,0.192502,34.959772,0.38759,0.435429,0.580571,193.256185,12.481135,121.000491,20.81091,77.889558,0,5.040945,33.474707,0,15.836596,105.163895,0,1.011527,11.469608,0
d05_22_G03_1_2_T,glasshouse_b1,CALINGIRI,T1,R2,T,32,16,65.220503,0.245322,22.672766,0.371843,0.410526,0.52332,128.473399,7.719912,77.674409,15.887619,49.332884,0,4.156026,20.568507,0,13.05654,64.617869,0,0.884838,6.835075,0
d05_23_G03_1_3_T,glasshouse_b1,CALINGIRI,T1,R3,T,25,11,82.983931,0.132556,28.07631,0.366086,0.410526,0.580571,163.69236,9.470256,96.836765,16.013017,66.970914,0,3.785556,27.038544,0,11.892674,84.944091,0,0.74502,8.725236,0
